"X","utm_x","utm_y","Station","Setup_date","Retrieval_date","Problem1_from","Problem1_to","Problem2_from","Problem2_to","Problem3_from","Problem3_to"
1,693961,2009932,"C1T2P1",2018-01-23,2018-04-23,NA,NA,2018-03-14,2018-03-19,NA,NA
2,693553,2009643,"C1T2P11",2018-01-23,2018-04-23,2018-01-23,2018-02-24,2018-03-02,2018-03-19,2018-04-21,2018-04-23
3,693144,2009355,"C1T2P21",2018-01-23,2018-04-23,NA,NA,NA,NA,NA,NA
4,693673,2010340,"C1T4P1",2018-01-23,2018-04-23,2018-02-17,2018-02-24,2018-02-24,2018-03-19,NA,NA
5,693264,2010052,"C1T4P11",2018-01-23,2018-04-23,NA,NA,NA,NA,NA,NA
6,692856,2009763,"C1T4P21",2018-01-23,2018-04-23,NA,NA,NA,NA,NA,NA
7,693384,2010748,"C1T6P1",2018-01-21,2018-04-23,NA,NA,NA,NA,NA,NA
8,692976,2010460,"C1T6P11",2018-01-22,2018-04-23,NA,NA,NA,NA,2018-03-19,2018-03-21
9,692567,2010171,"C1T6P21",2018-01-22,2018-04-23,2018-02-01,2018-02-24,2018-02-24,2018-03-19,2018-04-05,2018-04-23
10,691248,2010115,"C2T1P1",2018-04-24,2018-08-21,NA,NA,NA,NA,NA,NA
11,691548,2009715,"C2T1P11",2018-04-24,2018-08-21,NA,NA,2018-05-20,2018-06-04,NA,NA
12,691849,2009315,"C2T1P21",2018-04-24,2018-08-21,NA,NA,2018-06-17,2018-06-18,2018-07-13,2018-08-21
13,690783,2009920,"C2T2P1",2018-04-24,2018-08-21,NA,NA,NA,NA,2018-08-12,2018-08-21
14,691084,2009520,"C2T2P11",2018-04-24,2018-08-21,2018-04-28,2018-05-20,2018-05-23,2018-06-18,2018-06-18,2018-08-21
15,691384,2009121,"C2T2P21",2018-04-24,2018-08-21,NA,NA,NA,NA,2018-07-11,2018-08-21
16,690311,2009723,"C2T3P1",2018-04-24,2018-08-21,NA,NA,NA,NA,2018-08-13,2018-08-21
17,690612,2009323,"C2T3P11",2018-04-24,2018-08-21,2018-05-13,2018-05-20,NA,NA,NA,NA
18,690912,2008923,"C2T3P21",2018-04-24,2018-08-21,NA,NA,2018-06-16,2018-06-18,2018-07-16,2018-08-21
19,691396,2007831,"C3T0P1",2018-01-24,2018-04-22,NA,NA,NA,NA,2018-03-26,2018-04-22
20,691697,2007431,"C3T0P11",2018-01-24,2018-04-22,NA,NA,NA,NA,NA,NA
21,691997,2007031,"C3T0P21",2018-01-24,2018-04-22,NA,NA,NA,NA,NA,NA
22,691867,2008028,"C3T1P1",2018-01-24,2018-04-22,NA,NA,NA,NA,NA,NA
23,692168,2007628,"C3T1P11",2018-01-24,2018-04-22,NA,NA,2018-02-23,2018-03-13,NA,NA
24,692468,2007229,"C3T1P21",2018-01-24,2018-04-22,NA,NA,2018-02-26,2018-03-20,2018-03-24,2018-04-22
25,692333,2008223,"C3T3P1",2018-01-24,2018-04-22,2018-01-30,2018-02-23,2018-03-01,2018-03-20,NA,NA
