"Station","Species","n_events"
"C1T2P1","Aves",25
"C1T2P1","Conepatus leuconotus",1
"C1T2P1","Lynx rufus",3
"C1T2P1","Sylvilagus floridanus",31
"C1T2P1","Urocyon cinereoargenteus",4
"C1T2P11","Aves",11
"C1T2P11","Canis latrans",1
"C1T2P11","Conepatus leuconotus",4
"C1T2P11","Mephitis macroura",1
"C1T2P11","Odocoileus virginianus",3
"C1T2P11","Sylvilagus floridanus",30
"C1T2P11","Urocyon cinereoargenteus",4
"C1T2P21","Aves",11
"C1T2P21","Canis lupus familiaris",1
"C1T2P21","Conepatus leuconotus",1
"C1T2P21","Mephitis macroura",1
"C1T2P21","Odocoileus virginianus",10
"C1T2P21","Sylvilagus floridanus",18
"C1T2P21","Urocyon cinereoargenteus",6
"C1T4P1","Odocoileus virginianus",1
"C1T4P11","Aves",29
"C1T4P11","Canis lupus familiaris",1
"C1T4P11","Conepatus leuconotus",8
"C1T4P11","Lynx rufus",1
"C1T4P11","Odocoileus virginianus",12
"C1T4P11","Pecari tajacu",1
"C1T4P11","Persona",4
"C1T4P11","Reptiles",4
"C1T4P11","Roedores",7
"C1T4P11","Sylvilagus floridanus",37
"C1T4P11","Urocyon cinereoargenteus",8
"C1T4P21","Aves",2
"C1T6P1","Aves",4
"C1T6P1","Conepatus leuconotus",3
"C1T6P1","Lynx rufus",1
"C1T6P1","Sylvilagus floridanus",5
"C1T6P1","Urocyon cinereoargenteus",3
"C1T6P21","Aves",3
"C1T6P21","Canis latrans",2
"C1T6P21","Lynx rufus",1
"C1T6P21","Odocoileus virginianus",1
"C1T6P21","Pecari tajacu",1
"C1T6P21","Sylvilagus floridanus",18
"C1T6P21","Urocyon cinereoargenteus",3
"C2T1P1","Aves",2
"C2T1P1","Lynx rufus",1
"C2T1P1","Odocoileus virginianus",3
"C2T1P1","Persona",4
"C2T1P1","Sylvilagus floridanus",2
"C2T1P11","Aves",2
"C2T1P11","Lynx rufus",1
"C2T1P11","Odocoileus virginianus",2
"C2T1P11","Pecari tajacu",1
"C2T1P11","Persona",4
"C2T1P21","Pecari tajacu",2
"C2T1P21","Persona",4
"C2T1P21","Sylvilagus floridanus",1
"C2T1P21","Urocyon cinereoargenteus",2
"C2T2P1","Aves",56
"C2T2P1","Dasypus novemcinctus",1
"C2T2P1","Lynx rufus",1
"C2T2P1","Odocoileus virginianus",3
"C2T2P1","Pecari tajacu",2
"C2T2P1","Persona",3
"C2T2P1","Reptiles",10
"C2T2P1","Roedores",23
"C2T2P1","Spilogale angustigrons",2
"C2T2P1","Sylvilagus floridanus",55
"C2T2P1","Urocyon cinereoargenteus",6
"C2T2P11","Aves",4
"C2T2P11","Persona",5
"C2T2P21","Aves",9
"C2T2P21","Odocoileus virginianus",5
"C2T2P21","Pecari tajacu",1
"C2T2P21","Persona",3
"C2T2P21","Sylvilagus floridanus",4
"C2T2P21","Urocyon cinereoargenteus",8
"C2T3P1","Aves",3
"C2T3P1","Lynx rufus",5
"C2T3P1","Odocoileus virginianus",5
"C2T3P1","Pecari tajacu",1
"C2T3P1","Persona",4
"C2T3P1","Sylvilagus floridanus",1
"C2T3P1","Urocyon cinereoargenteus",11
"C2T3P11","Odocoileus virginianus",3
"C2T3P11","Persona",4
"C2T3P21","Aves",13
