"Station","Species","n_events"
"C1T2P1","Aves",25
"C1T2P1","Bassariscus astutus",0
"C1T2P1","Canis latrans",0
"C1T2P1","Canis lupus familiaris",0
"C1T2P1","Capra hircus",0
"C1T2P1","Conepatus leuconotus",1
"C1T2P1","Dasypus novemcinctus",0
"C1T2P1","Lynx rufus",3
"C1T2P1","Mephitis macroura",0
"C1T2P1","Nasua narica",0
"C1T2P1","Odocoileus virginianus",0
"C1T2P1","Pecari tajacu",0
"C1T2P1","Persona",0
"C1T2P1","Procyon lotor",0
"C1T2P1","Puma yagouaroundi",0
"C1T2P1","Reptiles",0
"C1T2P1","Roedores",0
"C1T2P1","Spilogale angustigrons",0
"C1T2P1","Sylvilagus floridanus",31
"C1T2P1","Urocyon cinereoargenteus",4
"C1T2P11","Aves",11
"C1T2P11","Bassariscus astutus",0
"C1T2P11","Canis latrans",1
"C1T2P11","Canis lupus familiaris",0
"C1T2P11","Capra hircus",0
"C1T2P11","Conepatus leuconotus",4
"C1T2P11","Dasypus novemcinctus",0
"C1T2P11","Lynx rufus",0
"C1T2P11","Mephitis macroura",1
"C1T2P11","Nasua narica",0
"C1T2P11","Odocoileus virginianus",3
"C1T2P11","Pecari tajacu",0
"C1T2P11","Persona",0
"C1T2P11","Procyon lotor",0
"C1T2P11","Puma yagouaroundi",0
"C1T2P11","Reptiles",0
"C1T2P11","Roedores",0
"C1T2P11","Spilogale angustigrons",0
"C1T2P11","Sylvilagus floridanus",30
"C1T2P11","Urocyon cinereoargenteus",4
"C1T2P21","Aves",11
"C1T2P21","Bassariscus astutus",0
"C1T2P21","Canis latrans",0
"C1T2P21","Canis lupus familiaris",1
"C1T2P21","Capra hircus",0
"C1T2P21","Conepatus leuconotus",1
"C1T2P21","Dasypus novemcinctus",0
"C1T2P21","Lynx rufus",0
"C1T2P21","Mephitis macroura",1
"C1T2P21","Nasua narica",0
"C1T2P21","Odocoileus virginianus",10
"C1T2P21","Pecari tajacu",0
"C1T2P21","Persona",0
"C1T2P21","Procyon lotor",0
"C1T2P21","Puma yagouaroundi",0
"C1T2P21","Reptiles",0
"C1T2P21","Roedores",0
"C1T2P21","Spilogale angustigrons",0
"C1T2P21","Sylvilagus floridanus",18
"C1T2P21","Urocyon cinereoargenteus",6
"C1T4P1","Aves",0
"C1T4P1","Bassariscus astutus",0
"C1T4P1","Canis latrans",0
"C1T4P1","Canis lupus familiaris",0
"C1T4P1","Capra hircus",0
"C1T4P1","Conepatus leuconotus",0
"C1T4P1","Dasypus novemcinctus",0
"C1T4P1","Lynx rufus",0
"C1T4P1","Mephitis macroura",0
"C1T4P1","Nasua narica",0
"C1T4P1","Odocoileus virginianus",1
"C1T4P1","Pecari tajacu",0
"C1T4P1","Persona",0
"C1T4P1","Procyon lotor",0
"C1T4P1","Puma yagouaroundi",0
"C1T4P1","Reptiles",0
"C1T4P1","Roedores",0
"C1T4P1","Spilogale angustigrons",0
"C1T4P1","Sylvilagus floridanus",0
"C1T4P1","Urocyon cinereoargenteus",0
"C1T4P11","Aves",29
"C1T4P11","Bassariscus astutus",0
"C1T4P11","Canis latrans",0
"C1T4P11","Canis lupus familiaris",1
"C1T4P11","Capra hircus",0
"C1T4P11","Conepatus leuconotus",8
"C1T4P11","Dasypus novemcinctus",0
"C1T4P11","Lynx rufus",1
"C1T4P11","Mephitis macroura",0
"C1T4P11","Nasua narica",0
"C1T4P11","Odocoileus virginianus",12
"C1T4P11","Pecari tajacu",1
"C1T4P11","Persona",4
"C1T4P11","Procyon lotor",0
"C1T4P11","Puma yagouaroundi",0
"C1T4P11","Reptiles",4
"C1T4P11","Roedores",7
"C1T4P11","Spilogale angustigrons",0
"C1T4P11","Sylvilagus floridanus",37
"C1T4P11","Urocyon cinereoargenteus",8
"C1T4P21","Aves",2
"C1T4P21","Bassariscus astutus",0
"C1T4P21","Canis latrans",0
"C1T4P21","Canis lupus familiaris",0
"C1T4P21","Capra hircus",0
"C1T4P21","Conepatus leuconotus",0
"C1T4P21","Dasypus novemcinctus",0
"C1T4P21","Lynx rufus",0
"C1T4P21","Mephitis macroura",0
"C1T4P21","Nasua narica",0
"C1T4P21","Odocoileus virginianus",0
"C1T4P21","Pecari tajacu",0
"C1T4P21","Persona",0
"C1T4P21","Procyon lotor",0
"C1T4P21","Puma yagouaroundi",0
"C1T4P21","Reptiles",0
"C1T4P21","Roedores",0
"C1T4P21","Spilogale angustigrons",0
"C1T4P21","Sylvilagus floridanus",0
"C1T4P21","Urocyon cinereoargenteus",0
"C1T6P1","Aves",4
"C1T6P1","Bassariscus astutus",0
"C1T6P1","Canis latrans",0
"C1T6P1","Canis lupus familiaris",0
"C1T6P1","Capra hircus",0
"C1T6P1","Conepatus leuconotus",3
"C1T6P1","Dasypus novemcinctus",0
"C1T6P1","Lynx rufus",1
"C1T6P1","Mephitis macroura",0
"C1T6P1","Nasua narica",0
"C1T6P1","Odocoileus virginianus",0
"C1T6P1","Pecari tajacu",0
"C1T6P1","Persona",0
"C1T6P1","Procyon lotor",0
"C1T6P1","Puma yagouaroundi",0
"C1T6P1","Reptiles",0
"C1T6P1","Roedores",0
"C1T6P1","Spilogale angustigrons",0
"C1T6P1","Sylvilagus floridanus",5
"C1T6P1","Urocyon cinereoargenteus",3
"C1T6P21","Aves",3
"C1T6P21","Bassariscus astutus",0
"C1T6P21","Canis latrans",2
"C1T6P21","Canis lupus familiaris",0
"C1T6P21","Capra hircus",0
"C1T6P21","Conepatus leuconotus",0
"C1T6P21","Dasypus novemcinctus",0
"C1T6P21","Lynx rufus",1
"C1T6P21","Mephitis macroura",0
"C1T6P21","Nasua narica",0
"C1T6P21","Odocoileus virginianus",1
"C1T6P21","Pecari tajacu",1
"C1T6P21","Persona",0
"C1T6P21","Procyon lotor",0
"C1T6P21","Puma yagouaroundi",0
"C1T6P21","Reptiles",0
"C1T6P21","Roedores",0
"C1T6P21","Spilogale angustigrons",0
"C1T6P21","Sylvilagus floridanus",18
"C1T6P21","Urocyon cinereoargenteus",3
"C2T1P1","Aves",2
"C2T1P1","Bassariscus astutus",0
"C2T1P1","Canis latrans",0
"C2T1P1","Canis lupus familiaris",0
