"Station","setup_date","first_image_date","last_image_date","retrieval_date","n_nights_total","n_nights_active","n_cameras"
"C1T2P1",2018-01-23,2018-01-23,2018-04-23,2018-04-23,90,85,1
"C1T2P11",2018-01-23,2018-03-01,2018-04-21,2018-04-23,90,39,1
"C1T2P21",2018-01-23,2018-01-26,2018-04-20,2018-04-23,90,90,1
"C1T4P1",2018-01-23,2018-02-17,2018-02-17,2018-04-23,90,60,1
"C1T4P11",2018-01-23,2018-01-23,2018-04-22,2018-04-23,90,90,1
"C1T4P21",2018-01-23,2018-03-23,2018-03-26,2018-04-23,90,90,1
"C1T6P1",2018-01-21,2018-03-25,2018-04-22,2018-04-23,92,92,1
"C1T6P11",2018-01-22,NA,NA,2018-04-23,91,89,1
"C1T6P21",2018-01-22,2018-01-24,2018-04-05,2018-04-23,91,27,1
"C2T1P1",2018-04-24,2018-04-24,2018-08-21,2018-08-21,119,119,1
"C2T1P11",2018-04-24,2018-04-24,2018-08-21,2018-08-21,119,104,1
"C2T1P21",2018-04-24,2018-04-24,2018-07-12,2018-08-21,119,79,1
"C2T2P1",2018-04-24,2018-04-24,2018-08-12,2018-08-21,119,110,1
"C2T2P11",2018-04-24,2018-04-24,2018-05-22,2018-08-21,119,7,1
"C2T2P21",2018-04-24,2018-04-24,2018-07-10,2018-08-21,119,78,1
"C2T3P1",2018-04-24,2018-04-24,2018-08-12,2018-08-21,119,111,1
"C2T3P11",2018-04-24,2018-04-24,2018-08-21,2018-08-21,119,112,1
"C2T3P21",2018-04-24,2018-04-24,2018-07-15,2018-08-21,119,81,1
"C3T0P1",2018-01-24,2018-03-26,2018-03-26,2018-04-22,88,61,1
"C3T0P11",2018-01-24,2018-04-04,2018-04-20,2018-04-22,88,88,1
"C3T0P21",2018-01-24,2018-01-25,2018-04-11,2018-04-22,88,88,1
"C3T1P1",2018-01-24,2018-01-26,2018-04-22,2018-04-22,88,88,1
"C3T1P11",2018-01-24,2018-03-14,2018-04-04,2018-04-22,88,70,1
"C3T1P21",2018-01-24,2018-01-25,2018-03-23,2018-04-22,88,37,1
"C3T3P1",2018-01-24,NA,NA,2018-04-22,88,45,1
